sample,mode,modalht,control,mancontrol,iithreshold,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,ctrlmode,ctrlmedian,skewmode,skewctrlmode,skewmedian,skewctrlmedian,sampleA,sampleB,propmode,ctrlA,ctrlB,propctrlmode,ii,iictrl
A01_2022-10-28_JO_FAtest2_35cycles_A01_2022-10-28_2.fsa,135.0974503,426,NA,136.2126018,0.2,1,6371,134.9745345,7.326466619,136.0207837,135.5118078,5.73272,111.7207837,150.4074503,38.68666667,-0.749206951,0.904555224,0.091789028,136.2126018,136.2126018,-0.016776957,-0.168985596,-0.428412168,-0.506956789,3137,3660,0.538472856,3555,2816,0.442002825,1.415822181,0.300670666
A02_2022-10-28_JO_FAtest2_35cycles_A02_2022-10-28_2.fsa,137.1407837,445,NA,136.2126018,0.2,1,7777,135.3938971,9.229232994,136.184117,135.8482035,7.11648,110.9474503,157.6374503,46.69,-0.437652155,0.440761266,0.104654898,136.2126018,136.2126018,-0.189277543,-0.088707775,-0.25686421,-0.266123326,4488,3734,0.454147409,4043,3734,0.480133728,-0.01963157,0.908550248
A03_2022-10-28_JO_FAtest2_35cycles_A03_2022-10-28_2.fsa,137.1507837,861,NA,136.2126018,0.2,1,14739,134.5399374,9.128519678,136.184117,135.2161852,7.151074,110.584117,156.3107837,45.72666667,-0.657729537,0.226469117,0.075191084,136.2126018,136.2126018,-0.286009821,-0.183235017,-0.540343782,-0.549705052,8823,6777,0.434423077,7962,6777,0.459800529,-0.142466679,0.795715139
A04_2022-10-28_JO_FAtest2_35cycles_A04_2022-10-28_2.fsa,158.3874503,63,NA,158.9280059,0.2,1,704,152.9109778,4.51080846,153.5307837,153.069052,5.693184,144.904117,159.2374503,14.33333333,-0.241477932,-1.221701564,0.17000749,158.9280059,158.9280059,-1.214077828,-1.333913454,-0.412213826,-4.001740362,642,125,0.162972621,642,62,0.088068182,-5.476472538,-6.017028093
A05_2022-10-28_JO_FAtest2_35cycles_A05_2022-10-28_2.fsa,158.4007837,137,NA,158.9280059,0.2,1,1797,150.0002698,7.954089523,152.6374503,150.8069824,7.096712,132.504117,159.344117,26.84,-0.723633352,-0.704705146,0.187636117,158.9280059,158.9280059,-1.056125128,-1.122408293,-0.994650794,-3.367224878,1660,274,0.141675284,1660,137,0.076238175,-8.400513819,-8.927736042
A06_2022-10-28_JO_FAtest2_35cycles_A06_2022-10-28_2.fsa,159.2974503,215,NA,158.9280059,0.2,1,2584,148.8710778,8.618564621,151.5474503,149.542792,8.688036,130.624117,159.2974503,28.67333333,-0.519823713,-1.054859686,0.169546445,158.9280059,158.9280059,-1.209757426,-1.166891304,-0.931607292,-3.500673911,2584,215,0.076813148,2369,215,0.083204334,-9.211107345,-8.8416629
A07_2022-10-28_JO_FAtest2_35cycles_A07_2022-10-28_2.fsa,136.274117,176,NA,136.2126018,0.2,1,2283,136.1548456,5.37070397,136.274117,136.3554069,5.678358,121.774117,146.774117,25,-0.354598874,-0.06826037,0.112403092,136.2126018,136.2126018,-0.022207783,-0.010753949,-0.066623348,-0.032261846,1215,1244,0.505896706,1039,1244,0.544897065,0.450843165,0.512358317
A08_2022-10-28_JO_FAtest2_35cycles_A08_2022-10-28_2.fsa,158.3907837,85,NA,158.9280059,0.2,1,607,155.4004048,2.942677166,155.6007837,155.5605578,4.136454,149.7507837,159.324117,9.573333333,-0.37877784,-1.05138332,0.119439582,158.9280059,158.9280059,-1.016210323,-1.198772728,-0.204282259,-3.596318185,533,159,0.229768786,533,74,0.121911038,-2.990378913,-3.527601135
A09_2022-10-28_JO_FAtest2_35cycles_A09_2022-10-28_2.fsa,136.254117,464,NA,136.2126018,0.2,1,6618,134.911789,7.663730554,136.254117,135.5524289,5.693184,111.0074503,151.6774503,40.67,-0.824549516,1.037552483,0.094205627,136.2126018,136.2126018,-0.175153339,-0.169736244,-0.525460016,-0.509208733,3766,3316,0.468229314,3302,3316,0.501057721,0.071552868,0.11306802
A10_2022-10-28_JO_FAtest2_35cycles_A10_2022-10-28_2.fsa,158.2274503,60,NA,158.9280059,0.2,1,543,153.5290771,4.50965661,154.2974503,153.8025998,5.826618,144.7874503,159.2307837,14.44333333,-0.464657306,-1.109169885,0.193527889,158.9280059,158.9280059,-1.041847227,-1.197192881,-0.511151936,-3.591578644,485,118,0.195688226,485,58,0.106813996,-4.698373235,-5.398928791
