sample,mode,modalht,control,mancontrol,iithreshold,vars,n,mean,sd,median,trimmed,mad,min,max,range,skew,kurtosis,se,ctrlmode,ctrlmedian,skewmode,skewctrlmode,skewmedian,skewctrlmedian,sampleA,sampleB,propmode,ctrlA,ctrlB,propctrlmode,ii,iictrl
A01_2022-12-16_JO_Exp15A-C_FA2_A01_2022-12-16_1.fsa,159.3574503,299,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,7649,150.9604111,15.02225907,154.5074503,151.9704972,14.23296,111.9974503,179.004117,67.00666667,-0.570054637,-0.386735463,0.171764305,157.5974503,155.6607837,-0.558973136,-0.44181366,-0.708356696,-0.938681574,5089,2859,0.359713135,4537,3112,0.406850569,-5.972506965,-4.212506965
A01_2022-12-16_JO_Exp15A-C_FA1_A01_2022-12-16_1.fsa,156.4707837,194,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,4048,150.2213535,15.36095119,155.5307837,152.0648958,9.93342,112.6674503,173.894117,61.22666667,-0.9675096,0.176217958,0.241433682,157.5974503,155.6607837,-0.406838749,-0.480184902,-1.036933867,-1.06232292,2323,1919,0.452380952,2495,1553,0.383646245,-4.533633931,-5.660300598
A01_2022-12-16_JO_Exp15A-C_FA3_A01_2022-12-16_1.fsa,160.334117,321,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,7084,150.5296986,14.05501778,155.5407837,151.9793287,11.41602,113.574117,170.714117,57.14,-0.804429123,-0.421903371,0.166990638,157.5974503,155.6607837,-0.697574244,-0.502863237,-1.069600584,-1.095214212,5127,2278,0.30762998,4194,2890,0.407961604,-5.652100235,-2.915433568
A02_2022-12-16_JO_Exp15A-C_FA1_A02_2022-12-16_1.fsa,173.894117,237,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3063,153.2260127,14.81325112,156.704117,155.0605851,10.00755,110.8274503,173.894117,63.06666667,-1.134313698,0.977600039,0.267655941,157.5974503,155.6607837,-1.395244304,-0.295103185,-0.70439046,-0.493093157,3063,237,0.071818182,1574,1489,0.486124714,-15.39928131,0.897385362
A02_2022-12-16_JO_Exp15A-C_FA4_A02_2022-12-16_1.fsa,163.284117,298,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,6504,155.7209446,13.10871711,159.4374503,156.8657882,10.022376,113.9307837,179.3574503,65.42666667,-0.837374507,0.298515212,0.162543619,157.5974503,155.6607837,-0.576957481,-0.143149457,-0.85054221,0.01376815,4541,2261,0.332402235,2996,3508,0.539360394,-6.339473684,-0.652807018
A02_2022-12-16_JO_Exp15A-C_FA2_A02_2022-12-16_1.fsa,173.804117,433,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,9883,150.3009452,16.75358402,155.614117,151.7718237,14.20825,110.1574503,179.394117,69.23666667,-0.703259015,-0.441169384,0.16852461,157.5974503,155.6607837,-1.402874259,-0.435519057,-0.951409281,-0.959765702,9771,545,0.052830554,5641,4242,0.429221896,-19.60319894,-3.396532274
A02_2022-12-16_JO_Exp15A-C_FA3_A02_2022-12-16_1.fsa,166.1607837,311,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,7120,153.9543839,16.37343661,159.5207837,155.6456842,12.94804,114.6507837,179.4074503,64.75666667,-0.802045163,-0.499737384,0.194043834,157.5974503,155.6607837,-0.745500172,-0.222498585,-1.019895813,-0.312652717,5381,2050,0.27587135,3266,3854,0.541292135,-6.865363275,1.697970059
A03_2022-12-16_JO_Exp15A-C_FA1_A03_2022-12-16_1.fsa,158.674117,78,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,1253,156.8830476,9.478384852,158.674117,157.7265929,6.983046,117.0307837,173.834117,56.80333333,-1.737449192,5.986281007,0.267768079,157.5974503,155.6607837,-0.188963569,-0.075371783,-0.566890708,0.386858284,704,627,0.47107438,557,696,0.555466879,-1.791069433,-0.714402767
A03_2022-12-16_JO_Exp15A-C_FA4_A03_2022-12-16_1.fsa,161.4807837,194,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3629,154.2303593,10.35540825,157.6474503,154.9877188,9.869174,130.714117,170.874117,40.16,-0.598431998,-0.741217807,0.171899155,157.5974503,155.6607837,-0.700158235,-0.3251529,-0.989943885,-0.414399218,2665,1158,0.302903479,1797,1832,0.504822265,-6.956620424,-3.073287091
A03_2022-12-16_JO_Exp15A-C_FA3_A03_2022-12-16_1.fsa,161.4407837,268,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,6583,150.1383496,13.72769902,153.8574503,151.1850549,14.114352,117.064117,172.864117,55.8,-0.572959345,-0.6882472,0.169194336,157.5974503,155.6607837,-0.823330555,-0.543361324,-0.81275836,-1.206852082,5159,1692,0.246971245,3931,2652,0.402855841,-8.367232044,-4.523898711
A03_2022-12-16_JO_Exp15A-C_FA2_A03_2022-12-16_1.fsa,160.444117,128,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,1846,157.0362857,6.158370729,157.5974503,157.5326511,5.638822,137.3907837,167.2007837,29.81,-0.773998821,0.40392155,0.143334251,157.5974503,155.6607837,-0.553365735,-0.091122264,-0.273366791,0.670064558,1301,673,0.340932118,924,1034,0.528089888,-3.407831347,-0.56116468
A04_2022-12-16_JO_Exp15A-C_FA4_A04_2022-12-16_1.fsa,167.1074503,146,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,2695,160.4133996,9.582794451,162.3874503,161.5551369,8.505182,134.4374503,174.7474503,40.31,-0.991072897,0.450550508,0.184591963,157.5974503,155.6607837,-0.69854892,0.29385471,-0.617998452,1.487859094,2045,796,0.280183034,813,1882,0.698330241,-6.694050711,2.815949289
A04_2022-12-16_JO_Exp15A-C_FA2_A04_2022-12-16_1.fsa,160.4174503,40,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,358,160.9032231,2.637587023,161.2774503,160.9197999,3.019562,156.6274503,165.0474503,8.42,-0.01962004,-1.189676683,0.139400806,157.5974503,155.6607837,0.184173188,1.253332225,-0.425647213,5.962767597,178,220,0.552763819,64,294,0.82122905,0.485772812,3.305772812
A04_2022-12-16_JO_Exp15A-C_FA1_A04_2022-12-16_1.fsa,173.8874503,110,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,790,158.9472351,8.195754995,157.7007837,158.9289799,5.801908,139.5274503,173.8874503,34.36,0.030931299,0.389327554,0.291591877,157.5974503,155.6607837,-1.822921158,0.164693163,0.456255029,1.202983061,790,110,0.122222222,349,441,0.558227848,-14.94021519,1.34978481
A04_2022-12-16_JO_Exp15A-C_FA3_A04_2022-12-16_1.fsa,159.554117,170,A09_2022-12-16_JO_Exp15A-C_FA1_A09_2022-12-16_1.fsa,NA,0.2,1,3342,153.991409,10.24465545,156.6374503,154.7760043,9.977898,131.4207837,169.9874503,38.56666667,-0.608915147,-0.716626152,0.177212411,157.5974503,155.6607837,-0.542986339,-0.351992442,-0.774855134,-0.488852349,2164,1348,0.383826879,1850,1492,0.446439258,-5.351385281,-3.394718615
